Gene	Weight	Tendency	Symbol
ENSG00000070756	0.033916492	1	PABPC1
ENSG00000161016	1.3917587e-06	1	RPL8
ENSG00000137154	0.058054388	1	RPS6
ENSG00000197958	0.04265022	1	RPL12
ENSG00000148303	1.0551045e-06	1	RPL7A
ENSG00000138326	0.028450403	1	RPS24
ENSG00000148908	0.20933105	1	RGS10
ENSG00000185201	-0.024528632	0	IFITM2
ENSG00000177600	9.944271e-07	1	RPLP2
ENSG00000130592	-0.008467371	0	LSP1
ENSG00000110700	0.14433596	1	RPS13
ENSG00000167996	-0.43789327	0	FTH1
ENSG00000149806	-0.009991137	0	FAU
ENSG00000251562	-0.32640094	0	MALAT1
ENSG00000172757	-0.0030465028	0	CFL1
ENSG00000172543	0.3235733	1	CTSW
ENSG00000213402	-0.088561386	0	PTPRCAP
ENSG00000149273	-0.05529594	0	RPS3
ENSG00000198851	0.10070255	1	CD3E
ENSG00000167286	0.12975737	1	CD3D
ENSG00000118181	0.09993219	1	RPS25
ENSG00000109971	7.1931026e-07	1	HSPA8
ENSG00000139193	0.112258546	1	CD27
ENSG00000111640	-0.1446008	0	GAPDH
ENSG00000256039	1.0184594	1	RP11-291B21.2
ENSG00000111348	0.013019393	1	ARHGDIB
ENSG00000111716	0.081330076	1	LDHB
ENSG00000123349	0.018446665	1	PFDN5
ENSG00000135486	0.0066608232	1	HNRNPA1
ENSG00000197728	0.022843285	1	RPS26
ENSG00000092841	-0.040280744	0	MYL6
ENSG00000196531	0.026496988	1	NACA
ENSG00000133639	0.0015645024	1	BTG1
ENSG00000089157	-0.005834324	0	RPLP0
ENSG00000150991	-0.07787198	0	UBC
ENSG00000122026	0.0036889454	1	RPL21
ENSG00000133112	9.2873495e-07	1	TPT1
ENSG00000198668	-0.041171223	0	CALM1
ENSG00000166710	-0.8062028	0	B2M
ENSG00000174444	0.03633305	1	RPL4
ENSG00000137818	0.065862425	1	RPLP1
ENSG00000008517	1.788997	1	IL32
ENSG00000102879	0.0025118268	1	CORO1A
ENSG00000131143	0.050633304	1	COX4I1
ENSG00000051523	-0.13475676	0	CYBA
ENSG00000167526	2.4453402e-06	1	RPL13
ENSG00000108518	-0.081379	0	PFN1
ENSG00000161970	-0.0068855705	0	RPL26
ENSG00000170315	-0.003383736	0	UBB
ENSG00000161570	-1.6852269	0	CCL5
ENSG00000108298	3.9984434e-06	1	RPL19
ENSG00000126353	0.11913922	1	CCR7
ENSG00000173812	-0.06874399	0	EIF1
ENSG00000136490	0.00019445064	1	LIMD2
ENSG00000108654	1.0879576e-06	1	DDX5
ENSG00000172809	0.0526354	1	RPL38
ENSG00000132475	-0.089453064	0	H3F3B
ENSG00000184009	0.0063798022	1	ACTG1
ENSG00000173762	0.1525634	1	CD7
ENSG00000265681	5.043667e-07	1	RPL17
ENSG00000115268	1.1589879e-06	1	RPS15
ENSG00000104904	-0.06883801	0	OAZ1
ENSG00000167658	0.037965477	1	EEF2
ENSG00000130255	0.021476798	1	RPL36
ENSG00000233927	0.046393313	1	RPS28
ENSG00000171223	0.11376458	1	JUNB
ENSG00000160888	-0.41410992	0	IER2
ENSG00000105640	1.7867457e-06	1	RPL18A
ENSG00000221983	2.166391e-06	1	UBA52
ENSG00000089327	-0.009663791	0	FXYD5
ENSG00000178982	0.01843868	1	EIF3K
ENSG00000105193	0.0041957223	1	RPS16
ENSG00000105372	0.04987434	1	RPS19
ENSG00000125743	0.041028764	1	SNRPD2
ENSG00000142227	-0.01317593	0	EMP3
ENSG00000063177	0.03079666	1	RPL18
ENSG00000087086	0.061657704	1	FTL
ENSG00000104894	-0.043284386	0	CD37
ENSG00000142541	-0.2097497	0	RPL13A
ENSG00000142546	0.13324887	1	NOSIP
ENSG00000170889	0.03865476	1	RPS9
ENSG00000108107	0.015770037	1	RPL28
ENSG00000083845	0.16329995	1	RPS5
ENSG00000128340	-0.0030670697	0	RAC2
ENSG00000100316	1.4482039e-06	1	RPL3
ENSG00000100380	0.0019743843	1	ST13
ENSG00000160307	0.8541048	1	S100B
ENSG00000198763	5.133895e-07	1	MT-ND2
ENSG00000198804	2.5631277e-06	1	MT-CO1
ENSG00000198712	0.040619884	1	MT-CO2
ENSG00000198938	0.0022282177	1	MT-CO3
ENSG00000198886	0.056035277	1	MT-ND4
ENSG00000198727	5.406415e-07	1	MT-CYB
