query,_id,_score,name,symbol,ensembl.gene,entrezgene,notfound,ensembl
TTLL10,254173,17.78056,tubulin tyrosine ligase like 10,TTLL10,ENSG00000162571,254173,,
TNFRSF18,8784,17.978836,TNF receptor superfamily member 18,TNFRSF18,ENSG00000186891,8784,,
TNFRSF4,7293,18.28767,TNF receptor superfamily member 4,TNFRSF4,ENSG00000186827,7293,,
SDF4,51150,17.612497,stromal cell derived factor 4,SDF4,ENSG00000078808,51150,,
B3GALT6,126792,17.555338,"beta-1,3-galactosyltransferase 6",B3GALT6,ENSG00000176022,126792,,
C1QTNF12,388581,17.60321,C1q and TNF related 12,C1QTNF12,ENSG00000184163,388581,,
AL162741.1,,,,,,,True,
UBE2J2,118424,17.601728,ubiquitin conjugating enzyme E2 J2,UBE2J2,ENSG00000160087,118424,,
LINC01786,ENSG00000230415,26.271631,long intergenic non-protein coding RNA 1786,LINC01786,ENSG00000230415,,,
LINC01786,101928895,26.271631,long intergenic non-protein coding RNA 1786,LINC01786,,101928895,,
SCNN1D,6339,18.465576,sodium channel epithelial 1 subunit delta,SCNN1D,ENSG00000162572,6339,,
ACAP3,116983,18.199162,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3,ENSG00000131584,116983,,
PUSL1,126789,17.57501,pseudouridine synthase like 1,PUSL1,ENSG00000169972,126789,,
INTS11,54973,17.512487,integrator complex subunit 11,INTS11,ENSG00000127054,54973,,
CPTP,80772,17.757027,ceramide-1-phosphate transfer protein,CPTP,ENSG00000224051,80772,,
TAS1R3,83756,18.16633,taste 1 receptor member 3,TAS1R3,ENSG00000169962,83756,,
DVL1,1855,18.186708,dishevelled segment polarity protein 1,DVL1,ENSG00000107404,1855,,
DVL1,8215,6.1263027,dishevelled segment polarity protein 1 pseudogene 1,DVL1P1,,8215,,
MXRA8,54587,18.175936,matrix remodeling associated 8,MXRA8,ENSG00000162576,54587,,
AURKAIP1,54998,17.581451,aurora kinase A interacting protein 1,AURKAIP1,ENSG00000175756,54998,,
CCNL2,81669,18.200174,cyclin L2,CCNL2,ENSG00000221978,81669,,
MRPL20,55052,17.46981,mitochondrial ribosomal protein L20,MRPL20,ENSG00000242485,55052,,
AL391244.3,,,,,,,True,
ANKRD65,441869,18.884579,ankyrin repeat domain 65,ANKRD65,ENSG00000235098,441869,,
AL391244.2,,,,,,,True,
TMEM88B,643965,17.892895,transmembrane protein 88B,TMEM88B,ENSG00000205116,643965,,
LINC01770,ENSG00000225285,26.27205,long intergenic non-protein coding RNA 1770,LINC01770,ENSG00000225285,,,
LINC01770,102724312,26.27205,long intergenic non-protein coding RNA 1770,LINC01770,,102724312,,
VWA1,64856,17.63203,von Willebrand factor A domain containing 1,VWA1,ENSG00000179403,64856,,
ATAD3C,219293,23.906641,ATPase family AAA domain containing 3C,ATAD3C,ENSG00000215915,219293,,
ATAD3B,83858,24.787115,ATPase family AAA domain containing 3B,ATAD3B,ENSG00000160072,83858,,
ATAD3A,55210,19.272217,ATPase family AAA domain containing 3A,ATAD3A,ENSG00000197785,55210,,
TMEM240,339453,18.182314,transmembrane protein 240,TMEM240,ENSG00000205090,339453,,
SSU72,29101,16.594437,"SSU72 homolog, RNA polymerase II CTD phosphatase",SSU72,ENSG00000160075,29101,,
AL645728.1,,,,,,,True,
FNDC10,643988,17.775259,fibronectin type III domain containing 10,FNDC10,ENSG00000228594,643988,,
AL691432.2,,,,,,,True,
MIB2,142678,17.524773,MIB E3 ubiquitin protein ligase 2,MIB2,ENSG00000197530,142678,,
MMP23B,8510,18.245436,matrix metallopeptidase 23B,MMP23B,ENSG00000189409,8510,,
CDK11B,984,18.885021,cyclin dependent kinase 11B,CDK11B,ENSG00000248333,984,,
FO704657.1,,,,,,,True,
SLC35E2B,728661,18.804176,solute carrier family 35 member E2B,SLC35E2B,ENSG00000189339,728661,,
CDK11A,728642,21.671951,cyclin dependent kinase 11A,CDK11A,ENSG00000008128,728642,,
SLC35E2A,ENSG00000215790,7.59568,solute carrier family 35 member E2A (pseudogene),SLC35E2A,ENSG00000215790,,,
SLC35E2A,9906,7.59568,solute carrier family 35 member E2A (pseudogene),SLC35E2A,,9906,,
NADK,65220,17.473318,NAD kinase,NADK,ENSG00000008130,65220,,
GNB1,2782,18.136091,G protein subunit beta 1,GNB1,ENSG00000078369,2782,,
AL109917.1,,,,,,,True,
CALML6,163688,18.900106,calmodulin like 6,CALML6,ENSG00000169885,163688,,
TMEM52,339456,18.229958,transmembrane protein 52,TMEM52,ENSG00000178821,339456,,
CFAP74,85452,17.645823,cilia and flagella associated protein 74,CFAP74,ENSG00000142609,85452,,
AL391845.2,,,,,,,True,
GABRD,2563,17.590544,gamma-aminobutyric acid type A receptor subunit delta,GABRD,ENSG00000187730,2563,,
AL391845.1,,,,,,,True,
PRKCZ,5590,17.633602,protein kinase C zeta,PRKCZ,ENSG00000067606,5590,,
AL590822.2,,,,,,,True,
PRKCZ-AS1,100506504,25.36287,PRKCZ antisense RNA 1,PRKCZ-AS1,ENSG00000182873,100506504,,
FAAP20,199990,18.590157,FA core complex associated protein 20,FAAP20,ENSG00000162585,199990,,
AL590822.1,,,,,,,True,
SKI,6497,18.214298,SKI proto-oncogene,SKI,ENSG00000157933,6497,,
MORN1,79906,18.719025,MORN repeat containing 1,MORN1,ENSG00000116151,79906,,
RER1,11079,17.452658,retention in endoplasmic reticulum sorting receptor 1,RER1,ENSG00000157916,11079,,
PEX10,5192,17.485119,peroxisomal biogenesis factor 10,PEX10,ENSG00000157911,5192,,
PLCH2,9651,18.160013,phospholipase C eta 2,PLCH2,,9651,,"[{'gene': 'ENSG00000149527'}, {'gene': 'ENSG00000276429'}]"
AL139246.1,,,,,,,True,
AL139246.4,,,,,,,True,
PANK4,55229,17.580229,pantothenate kinase 4 (inactive),PANK4,,55229,,"[{'gene': 'ENSG00000273494'}, {'gene': 'ENSG00000157881'}]"
HES5,388585,18.8449,hes family bHLH transcription factor 5,HES5,,388585,,"[{'gene': 'ENSG00000273529'}, {'gene': 'ENSG00000197921'}]"
AL139246.5,,,,,,,True,
TNFRSF14-AS1,ENSG00000238164,25.750221,TNFRSF14 antisense RNA 1,TNFRSF14-AS1,ENSG00000238164,,,
TNFRSF14-AS1,ENSG00000281197,25.750221,TNFRSF14 antisense RNA 1,TNFRSF14-AS1,ENSG00000281197,,,
TNFRSF14-AS1,115110,25.750221,TNFRSF14 antisense RNA 1,TNFRSF14-AS1,,115110,,
TNFRSF14,8764,19.1244,TNF receptor superfamily member 14,TNFRSF14,,8764,,"[{'gene': 'ENSG00000157873'}, {'gene': 'ENSG00000273936'}]"
AL139246.3,,,,,,,True,
FAM213B,127281,17.45219,peroxiredoxin like 2B,PRXL2B,,127281,,"[{'gene': 'ENSG00000157870'}, {'gene': 'ENSG00000275125'}]"
MMEL1,79258,17.645452,membrane metalloendopeptidase like 1,MMEL1,,79258,,"[{'gene': 'ENSG00000277131'}, {'gene': 'ENSG00000142606'}]"
AL831784.1,,,,,,,True,
TTC34,100287898,17.682266,tetratricopeptide repeat domain 34,TTC34,,100287898,,"[{'gene': 'ENSG00000275571'}, {'gene': 'ENSG00000215912'}]"
AC242022.1,,,,,,,True,
AL592464.2,,,,,,,True,
AL592464.1,,,,,,,True,
AL589702.1,,,,,,,True,
ACTRT2,140625,18.99083,actin related protein T2,ACTRT2,ENSG00000169717,140625,,
LINC00982,440556,25.030231,PRDM16 divergent transcript,PRDM16-DT,ENSG00000177133,440556,,
PRDM16,63976,17.633602,PR/SET domain 16,PRDM16,ENSG00000142611,63976,,
AL008733.1,,,,,,,True,
AL590438.1,,,,,,,True,
ARHGEF16,27237,17.64458,Rho guanine nucleotide exchange factor 16,ARHGEF16,ENSG00000130762,27237,,
AL512413.1,,,,,,,True,
MEGF6,1953,17.766827,multiple EGF like domains 6,MEGF6,ENSG00000162591,1953,,
AL513320.1,,,,,,,True,
TPRG1L,127262,17.656063,tumor protein p63 regulated 1 like,TPRG1L,ENSG00000158109,127262,,
WRAP73,49856,17.565674,"WD repeat containing, antisense to TP73",WRAP73,ENSG00000116213,49856,,
TP73,7161,17.590675,tumor protein p73,TP73,ENSG00000078900,7161,,
AL136528.1,,,,,,,True,
AL136528.2,,,,,,,True,
CCDC27,148870,18.450243,coiled-coil domain containing 27,CCDC27,ENSG00000162592,148870,,
SMIM1,388588,18.426487,small integral membrane protein 1 (Vel blood group),SMIM1,ENSG00000235169,388588,,
LRRC47,57470,17.611303,leucine rich repeat containing 47,LRRC47,ENSG00000130764,57470,,
AL365330.1,,,,,,,True,
CEP104,9731,17.553997,centrosomal protein 104,CEP104,ENSG00000116198,9731,,
DFFB,1677,17.57691,DNA fragmentation factor subunit beta,DFFB,ENSG00000169598,1677,,
C1orf174,339448,22.34449,chromosome 1 open reading frame 174,C1orf174,ENSG00000198912,339448,,
LINC01134,100133612,27.06384,long intergenic non-protein coding RNA 1134,LINC01134,ENSG00000236423,100133612,,
LINC01346,ENSG00000233304,26.271759,long intergenic non-protein coding RNA 1346,LINC01346,ENSG00000233304,,,
LINC01346,728716,26.271759,long intergenic non-protein coding RNA 1346,LINC01346,,728716,,
LINC01345,105376672,27.062708,long intergenic non-protein coding RNA 1345,LINC01345,ENSG00000226374,105376672,,
AL805961.1,,,,,,,True,
AL805961.2,,,,,,,True,
LINC01777,284661,27.063152,long intergenic non-protein coding RNA 1777,LINC01777,ENSG00000235054,284661,,
AL355602.1,,,,,,,True,
Z98747.1,,,,,,,True,
LINC01646,105376679,27.06384,long intergenic non-protein coding RNA 1646,LINC01646,ENSG00000232596,105376679,,
AJAP1,55966,17.664944,adherens junctions associated protein 1,AJAP1,ENSG00000196581,55966,,
BX005132.2,,,,,,,True,
BX005132.1,,,,,,,True,
AL691497.1,,,,,,,True,
AL139823.1,,,,,,,True,
Z98259.3,,,,,,,True,
Z98259.2,,,,,,,True,
Z98259.1,,,,,,,True,
AL365255.1,,,,,,,True,
NPHP4,261734,17.628069,nephrocystin 4,NPHP4,ENSG00000131697,261734,,
KCNAB2,8514,17.288069,potassium voltage-gated channel subfamily A regulatory beta subunit 2,KCNAB2,ENSG00000069424,8514,,
CHD5,8997,20.757175,kalirin RhoGEF kinase,KALRN,ENSG00000160145,8997,,
CHD5,84181,20.757175,chromodomain helicase DNA binding protein 6,CHD6,ENSG00000124177,84181,,
CHD5,7485,20.757175,guided entry of tail-anchored proteins factor 1,GET1,ENSG00000182093,7485,,
CHD5,26038,17.646664,chromodomain helicase DNA binding protein 5,CHD5,ENSG00000116254,26038,,
RPL22,6146,12.774642,ribosomal protein L22,RPL22,ENSG00000116251,6146,,
AL031847.1,,,,,,,True,
RNF207,388591,18.227636,ring finger protein 207,RNF207,ENSG00000158286,388591,,
ICMT,23463,17.503399,isoprenylcysteine carboxyl methyltransferase,ICMT,ENSG00000116237,23463,,
LINC00337,148645,25.039667,ICMT divergent transcript,ICMT-DT,,148645,,
HES3,390992,18.85321,hes family bHLH transcription factor 3,HES3,ENSG00000173673,390992,,
GPR153,387509,18.380404,G protein-coupled receptor 153,GPR153,ENSG00000158292,387509,,
ACOT7,11332,17.559834,acyl-CoA thioesterase 7,ACOT7,ENSG00000097021,11332,,
AL031848.2,,,,,,,True,
HES2,54626,18.678757,hes family bHLH transcription factor 2,HES2,ENSG00000069812,54626,,
ESPN,83715,17.650217,espin,ESPN,ENSG00000187017,83715,,
AL031848.1,,,,,,,True,
TNFRSF25,8718,18.380173,TNF receptor superfamily member 25,TNFRSF25,ENSG00000215788,8718,,
PLEKHG5,8718,18.989363,TNF receptor superfamily member 25,TNFRSF25,ENSG00000215788,8718,,
PLEKHG5,57449,18.258793,pleckstrin homology and RhoGEF domain containing G5,PLEKHG5,ENSG00000171680,57449,,
NOL9,79707,17.581535,nucleolar protein 9,NOL9,ENSG00000162408,79707,,
TAS1R1,80835,18.390816,taste 1 receptor member 1,TAS1R1,ENSG00000173662,80835,,
ZBTB48,3104,17.667015,zinc finger and BTB domain containing 48,ZBTB48,ENSG00000204859,3104,,
KLHL21,9903,17.62075,kelch like family member 21,KLHL21,ENSG00000162413,9903,,
PHF13,148479,17.602041,PHD finger protein 13,PHF13,ENSG00000116273,148479,,
THAP3,90326,18.64106,THAP domain containing 3,THAP3,ENSG00000041988,90326,,
DNAJC11,55735,18.15671,DnaJ heat shock protein family (Hsp40) member C11,DNAJC11,ENSG00000007923,55735,,
LINC01672,ENSG00000228750,26.27205,long intergenic non-protein coding RNA 1672,LINC01672,ENSG00000228750,,,
LINC01672,100505887,26.27205,long intergenic non-protein coding RNA 1672,LINC01672,,100505887,,
AL591163.1,,,,,,,True,
CAMTA1-DT,ENSG00000237436,26.27205,CAMTA1 divergent transcript,CAMTA1-DT,ENSG00000237436,,,
CAMTA1-DT,110841581,26.27205,CAMTA1 divergent transcript,CAMTA1-DT,,110841581,,
CAMTA1,23261,18.192747,calmodulin binding transcription activator 1,CAMTA1,ENSG00000171735,23261,,
AL512330.1,,,,,,,True,
Z97987.1,,,,,,,True,
AL365194.1,,,,,,,True,
AL359881.3,,,,,,,True,
AL359881.2,,,,,,,True,
AL359881.1,,,,,,,True,
VAMP3,9341,17.636793,vesicle associated membrane protein 3,VAMP3,ENSG00000049245,9341,,
PER3,8863,17.814598,period circadian regulator 3,PER3,ENSG00000049246,8863,,
Z98884.1,,,,,,,True,
UTS2,10911,18.42097,urotensin 2,UTS2,ENSG00000049247,10911,,
TNFRSF9,3604,18.319937,TNF receptor superfamily member 9,TNFRSF9,ENSG00000049249,3604,,
PARK7,11315,17.565275,Parkinsonism associated deglycase,PARK7,ENSG00000116288,11315,,
AL034417.4,,,,,,,True,
AL034417.3,,,,,,,True,
ERRFI1,54206,18.178967,ERBB receptor feedback inhibitor 1,ERRFI1,ENSG00000116285,54206,,
AL034417.2,,,,,,,True,
LINC01714,102724539,27.063105,long intergenic non-protein coding RNA 1714,LINC01714,ENSG00000227634,102724539,,
AL358876.2,,,,,,,True,
SLC45A1,50651,17.595263,solute carrier family 45 member 1,SLC45A1,ENSG00000162426,50651,,
RERE,473,18.210583,arginine-glutamic acid dipeptide repeats,RERE,ENSG00000142599,473,,
AL096855.1,,,,,,,True,
AL357552.2,,,,,,,True,
ENO1,2023,18.130207,enolase 1,ENO1,ENSG00000074800,2023,,
ENO1-AS1,100505975,27.06384,ENO1 antisense RNA 1,ENO1-AS1,ENSG00000230679,100505975,,
CA6,765,17.662937,carbonic anhydrase 6,CA6,ENSG00000131686,765,,
SLC2A7,155184,19.879513,solute carrier family 2 member 7,SLC2A7,ENSG00000197241,155184,,
SLC2A5,6518,19.093046,solute carrier family 2 member 5,SLC2A5,ENSG00000142583,6518,,
GPR157,80045,17.625723,G protein-coupled receptor 157,GPR157,ENSG00000180758,80045,,
MIR34AHG,106614088,27.062708,MIR34A host gene,MIR34AHG,ENSG00000228526,106614088,,
LINC01759,102724571,25.047367,long non coding transcriptional activator of miR34a,LNCTAM34A,ENSG00000234546,102724571,,
H6PD,9563,17.636793,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,H6PD,ENSG00000049239,9563,,
SPSB1,80176,17.625278,splA/ryanodine receptor domain and SOCS box containing 1,SPSB1,ENSG00000171621,80176,,
BX323043.1,,,,,,,True,
AL928921.2,,,,,,,True,
AL928921.1,,,,,,,True,
SLC25A33,84275,17.611038,solute carrier family 25 member 33,SLC25A33,ENSG00000171612,84275,,
TMEM201,199953,17.620607,transmembrane protein 201,TMEM201,ENSG00000188807,199953,,
PIK3CD,22883,22.07195,calsyntenin 1,CLSTN1,ENSG00000171603,22883,,
PIK3CD,5293,17.53693,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",PIK3CD,ENSG00000171608,5293,,
PIK3CD-AS1,644997,26.27205,PIK3CD antisense RNA 1,PIK3CD-AS1,ENSG00000179840,644997,,
PIK3CD-AS2,101929074,26.270922,PIK3CD antisense RNA 2,PIK3CD-AS2,ENSG00000231789,101929074,,
CLSTN1,22883,17.594423,calsyntenin 1,CLSTN1,ENSG00000171603,22883,,
CTNNBIP1,56998,17.634386,catenin beta interacting protein 1,CTNNBIP1,ENSG00000178585,56998,,
AL357140.1,,,,,,,True,
LZIC,84328,17.530838,leucine zipper and CTNNBIP1 domain containing,LZIC,ENSG00000162441,84328,,
NMNAT1,64802,17.692022,nicotinamide nucleotide adenylyltransferase 1,NMNAT1,ENSG00000173614,64802,,
RBP7,116362,18.280495,retinol binding protein 7,RBP7,ENSG00000162444,116362,,
UBE4B,10277,17.493004,ubiquitination factor E4B,UBE4B,ENSG00000130939,10277,,
KIF1B,23095,17.493296,kinesin family member 1B,KIF1B,ENSG00000054523,23095,,
AL139424.3,,,,,,,True,
AL139424.2,,,,,,,True,
PGD,26227,19.85815,phosphoglycerate dehydrogenase,PHGDH,ENSG00000092621,26227,,
PGD,5226,17.573877,phosphogluconate dehydrogenase,PGD,ENSG00000142657,5226,,
AL139424.1,,,,,,,True,
CENPS-CORT,100526739,27.063105,CENPS-CORT readthrough,CENPS-CORT,ENSG00000251503,100526739,,
CENPS,100526739,21.505455,CENPS-CORT readthrough,CENPS-CORT,ENSG00000251503,100526739,,
CENPS,378708,17.952518,centromere protein S,CENPS,ENSG00000175279,378708,,
CORT,1325,18.861029,cortistatin,CORT,ENSG00000241563,1325,,
DFFA,1676,17.606665,DNA fragmentation factor subunit alpha,DFFA,ENSG00000160049,1676,,
AL354956.1,,,,,,,True,
PEX14,5195,17.409254,peroxisomal biogenesis factor 14,PEX14,ENSG00000142655,5195,,
CASZ1,54897,17.552204,castor zinc finger 1,CASZ1,ENSG00000130940,54897,,
AL139423.1,,,,,,,True,
C1orf127,148345,24.202356,chromosome 1 open reading frame 127,C1orf127,ENSG00000175262,148345,,
TARDBP,23435,18.024328,TAR DNA binding protein,TARDBP,ENSG00000120948,23435,,
AL109811.4,,,,,,,True,
MASP2,10747,17.683004,MBL associated serine protease 2,MASP2,ENSG00000009724,10747,,
AL109811.3,,,,,,,True,
SRM,6725,21.506256,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites,SRMS,ENSG00000125508,6725,,
SRM,6723,17.559217,spermidine synthase,SRM,ENSG00000116649,6723,,
EXOSC10,5394,16.607317,exosome component 10,EXOSC10,ENSG00000171824,5394,,
AL109811.1,,,,,,,True,
AL109811.2,,,,,,,True,
MTOR,2475,17.526974,mechanistic target of rapamycin kinase,MTOR,ENSG00000198793,2475,,
MTOR-AS1,100873935,27.063152,MTOR antisense RNA 1,MTOR-AS1,ENSG00000225602,100873935,,
ANGPTL7,10218,17.675303,angiopoietin like 7,ANGPTL7,ENSG00000171819,10218,,
UBIAD1,29914,17.57691,UbiA prenyltransferase domain containing 1,UBIAD1,ENSG00000120942,29914,,
AL031291.1,,,,,,,True,
DISP3,57540,17.631636,dispatched RND transporter family member 3,DISP3,ENSG00000204624,57540,,
LINC01647,101929181,27.059961,long intergenic non-protein coding RNA 1647,LINC01647,ENSG00000235643,101929181,,
AL031731.1,,,,,,,True,
FBXO2,26232,17.827415,F-box protein 2,FBXO2,ENSG00000116661,26232,,
FBXO44,93611,19.629864,F-box protein 44,FBXO44,ENSG00000132879,93611,,
FBXO6,26270,19.439688,F-box protein 6,FBXO6,ENSG00000116663,26270,,
MAD2L2,10459,17.57161,mitotic arrest deficient 2 like 2,MAD2L2,ENSG00000116670,10459,,
DRAXIN,374946,18.107962,dorsal inhibitory axon guidance protein,DRAXIN,ENSG00000162490,374946,,
AGTRAP,57085,17.689892,angiotensin II receptor associated protein,AGTRAP,ENSG00000177674,57085,,
C1orf167,284498,25.049637,chromosome 1 open reading frame 167,C1orf167,ENSG00000215910,284498,,
AL953897.1,,,,,,,True,
MTHFR,4524,17.617577,methylenetetrahydrofolate reductase,MTHFR,ENSG00000177000,4524,,
CLCN6,1185,17.614828,chloride voltage-gated channel 6,CLCN6,ENSG00000011021,1185,,
NPPA-AS1,100379251,27.063152,NPPA antisense RNA 1,NPPA-AS1,,100379251,,
NPPA,4878,18.110899,natriuretic peptide A,NPPA,ENSG00000175206,4878,,
NPPB,4879,18.298033,natriuretic peptide B,NPPB,ENSG00000120937,4879,,
KIAA2013,90231,17.666077,KIAA2013,KIAA2013,ENSG00000116685,90231,,
PLOD1,5351,18.21699,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,ENSG00000083444,5351,,
MFN2,9927,17.594866,mitofusin 2,MFN2,ENSG00000116688,9927,,
MIIP,60672,17.78056,migration and invasion inhibitory protein,MIIP,ENSG00000116691,60672,,
TNFRSF8,943,18.41878,TNF receptor superfamily member 8,TNFRSF8,ENSG00000120949,943,,
TNFRSF1B,7133,17.851593,TNF receptor superfamily member 1B,TNFRSF1B,ENSG00000028137,7133,,
VPS13D,55187,17.581406,vacuolar protein sorting 13 homolog D,VPS13D,ENSG00000048707,55187,,
AC243836.1,,,,,,,True,
DHRS3,9249,18.09495,dehydrogenase/reductase 3,DHRS3,ENSG00000162496,9249,,
AC254633.1,,,,,,,True,
AADACL4,343066,18.757477,arylacetamide deacetylase like 4,AADACL4,ENSG00000204518,343066,,
AADACL3,126767,19.638557,arylacetamide deacetylase like 3,AADACL3,ENSG00000188984,126767,,
C1orf158,93190,22.682999,cilia and flagella associated protein 107,CFAP107,ENSG00000157330,93190,,
PRAMEF12,390999,22.614588,PRAME family member 12,PRAMEF12,ENSG00000116726,390999,,
PRAMEF1,65121,25.049507,PRAME family member 1,PRAMEF1,ENSG00000116721,65121,,
LINC01784,105376745,26.271315,long intergenic non-protein coding RNA 1784,LINC01784,ENSG00000228338,105376745,,
LINC01784,ENSG00000282162,26.271315,long intergenic non-protein coding RNA 1784,LINC01784,ENSG00000282162,,,
PRAMEF11,440560,27.06384,PRAME family member 11,PRAMEF11,,440560,,"[{'gene': 'ENSG00000281934'}, {'gene': 'ENSG00000239810'}]"
HNRNPCL1,343069,23.088127,heterogeneous nuclear ribonucleoprotein C like 1,HNRNPCL1,,343069,,"[{'gene': 'ENSG00000282175'}, {'gene': 'ENSG00000179172'}]"
PRAMEF2,65122,27.065735,PRAME family member 2,PRAMEF2,,65122,,"[{'gene': 'ENSG00000282817'}, {'gene': 'ENSG00000120952'}]"
PRAMEF4,400735,27.065735,PRAME family member 4,PRAMEF4,,400735,,"[{'gene': 'ENSG00000282584'}, {'gene': 'ENSG00000243073'}]"
PRAMEF10,343071,24.790571,PRAME family member 10,PRAMEF10,,343071,,"[{'gene': 'ENSG00000187545'}, {'gene': 'ENSG00000282663'}]"
PRAMEF7,441871,25.749384,PRAME family member 7,PRAMEF7,,441871,,"[{'gene': 'ENSG00000204510'}, {'gene': 'ENSG00000279195'}]"
PRAMEF6,440561,26.271364,PRAME family member 6,PRAMEF6,,440561,,"[{'gene': 'ENSG00000232423'}, {'gene': 'ENSG00000282119'}]"
PRAMEF27,101929983,25.752413,PRAME family member 27,PRAMEF27,,101929983,,"[{'gene': 'ENSG00000274764'}, {'gene': 'ENSG00000283425'}, {'gene': 'ENSG00000282437'}]"
HNRNPCL3,649330,27.063105,heterogeneous nuclear ribonucleoprotein C like 3,HNRNPCL3,,649330,,"[{'gene': 'ENSG00000282559'}, {'gene': 'ENSG00000277058'}, {'gene': 'ENSG00000283292'}]"
HNRNPCL3,101060301,25.042597,heterogeneous nuclear ribonucleoprotein C like 4,HNRNPCL4,,101060301,,"[{'gene': 'ENSG00000282095'}, {'gene': 'ENSG00000179412'}, {'gene': 'ENSG00000273865'}, {'gene': 'ENSG00000283231'}]"
PRAMEF25,441873,25.750093,PRAME family member 25,PRAMEF25,,441873,,"[{'gene': 'ENSG00000283348'}, {'gene': 'ENSG00000276299'}, {'gene': 'ENSG00000282566'}, {'gene': 'ENSG00000229571'}]"
PRAMEF25,645359,23.278517,PRAME family member 26,PRAMEF26,,645359,,"[{'gene': 'ENSG00000283216'}, {'gene': 'ENSG00000280267'}, {'gene': 'ENSG00000281987'}]"
HNRNPCL2,440563,27.063417,heterogeneous nuclear ribonucleoprotein C like 2,HNRNPCL2,,440563,,"[{'gene': 'ENSG00000274109'}, {'gene': 'ENSG00000282530'}, {'gene': 'ENSG00000283370'}, {'gene': 'ENSG00000275774'}]"
HNRNPCL2,649330,25.047367,heterogeneous nuclear ribonucleoprotein C like 3,HNRNPCL3,,649330,,"[{'gene': 'ENSG00000282559'}, {'gene': 'ENSG00000277058'}, {'gene': 'ENSG00000283292'}]"
AC245056.1,,,,,,,True,
PRAMEF26,645359,27.063152,PRAME family member 26,PRAMEF26,,645359,,"[{'gene': 'ENSG00000283216'}, {'gene': 'ENSG00000280267'}, {'gene': 'ENSG00000281987'}]"
HNRNPCL4,101060301,27.063547,heterogeneous nuclear ribonucleoprotein C like 4,HNRNPCL4,,101060301,,"[{'gene': 'ENSG00000282095'}, {'gene': 'ENSG00000179412'}, {'gene': 'ENSG00000273865'}, {'gene': 'ENSG00000283231'}]"
