query,_id,_score,name,symbol,ensembl.gene,entrezgene,notfound,ensembl
MIB2,142678,17.524773,MIB E3 ubiquitin protein ligase 2,MIB2,ENSG00000197530,142678,False,None
MMP23B,8510,18.245436,matrix metallopeptidase 23B,MMP23B,ENSG00000189409,8510,False,None
CDK11B,984,18.885021,cyclin dependent kinase 11B,CDK11B,ENSG00000248333,984,False,None
FO704657.1,None,None,None,None,None,None,True,None
SLC35E2B,728661,18.804176,solute carrier family 35 member E2B,SLC35E2B,ENSG00000189339,728661,False,None
CDK11A,728642,21.671951,cyclin dependent kinase 11A,CDK11A,ENSG00000008128,728642,False,None
SLC35E2A,ENSG00000215790,7.59568,solute carrier family 35 member E2A (pseudogene),SLC35E2A,ENSG00000215790,None,False,None
NADK,65220,17.473318,NAD kinase,NADK,ENSG00000008130,65220,False,None
GNB1,2782,18.136091,G protein subunit beta 1,GNB1,ENSG00000078369,2782,False,None
AL109917.1,None,None,None,None,None,None,True,None
CALML6,163688,18.900106,calmodulin like 6,CALML6,ENSG00000169885,163688,False,None
TMEM52,339456,18.229958,transmembrane protein 52,TMEM52,ENSG00000178821,339456,False,None
CFAP74,85452,17.645823,cilia and flagella associated protein 74,CFAP74,ENSG00000142609,85452,False,None
AL391845.2,None,None,None,None,None,None,True,None
GABRD,2563,17.590544,gamma-aminobutyric acid type A receptor subunit delta,GABRD,ENSG00000187730,2563,False,None
AL391845.1,None,None,None,None,None,None,True,None
PRKCZ,5590,17.633602,protein kinase C zeta,PRKCZ,ENSG00000067606,5590,False,None
AL590822.2,None,None,None,None,None,None,True,None
PRKCZ-AS1,100506504,25.36287,PRKCZ antisense RNA 1,PRKCZ-AS1,ENSG00000182873,100506504,False,None
FAAP20,199990,18.590157,FA core complex associated protein 20,FAAP20,ENSG00000162585,199990,False,None
AL590822.1,None,None,None,None,None,None,True,None
SKI,6497,18.214298,SKI proto-oncogene,SKI,ENSG00000157933,6497,False,None
MORN1,79906,18.719025,MORN repeat containing 1,MORN1,ENSG00000116151,79906,False,None
RER1,11079,17.452658,retention in endoplasmic reticulum sorting receptor 1,RER1,ENSG00000157916,11079,False,None
PEX10,5192,17.485119,peroxisomal biogenesis factor 10,PEX10,ENSG00000157911,5192,False,None
PLCH2,9651,18.160013,phospholipase C eta 2,PLCH2,ENSG00000149527,9651,False,"[{'gene': 'ENSG00000149527'}, {'gene': 'ENSG00000276429'}]"
AL139246.1,None,None,None,None,None,None,True,None
AL139246.4,None,None,None,None,None,None,True,None
PANK4,55229,17.580229,pantothenate kinase 4 (inactive),PANK4,ENSG00000273494,55229,False,"[{'gene': 'ENSG00000273494'}, {'gene': 'ENSG00000157881'}]"
HES5,388585,18.8449,hes family bHLH transcription factor 5,HES5,ENSG00000273529,388585,False,"[{'gene': 'ENSG00000273529'}, {'gene': 'ENSG00000197921'}]"
AL139246.5,None,None,None,None,None,None,True,None
TNFRSF14-AS1,ENSG00000238164,25.750221,TNFRSF14 antisense RNA 1,TNFRSF14-AS1,ENSG00000238164,None,False,None
TNFRSF14,8764,19.1244,TNF receptor superfamily member 14,TNFRSF14,ENSG00000157873,8764,False,"[{'gene': 'ENSG00000157873'}, {'gene': 'ENSG00000273936'}]"
AL139246.3,None,None,None,None,None,None,True,None
FAM213B,127281,17.45219,peroxiredoxin like 2B,PRXL2B,ENSG00000157870,127281,False,"[{'gene': 'ENSG00000157870'}, {'gene': 'ENSG00000275125'}]"
MMEL1,79258,17.645452,membrane metalloendopeptidase like 1,MMEL1,ENSG00000277131,79258,False,"[{'gene': 'ENSG00000277131'}, {'gene': 'ENSG00000142606'}]"
AL831784.1,None,None,None,None,None,None,True,None
TTC34,100287898,17.682266,tetratricopeptide repeat domain 34,TTC34,ENSG00000275571,100287898,False,"[{'gene': 'ENSG00000275571'}, {'gene': 'ENSG00000215912'}]"
AC242022.1,None,None,None,None,None,None,True,None
AL592464.2,None,None,None,None,None,None,True,None
AL592464.1,None,None,None,None,None,None,True,None
AL589702.1,None,None,None,None,None,None,True,None
ACTRT2,140625,18.99083,actin related protein T2,ACTRT2,ENSG00000169717,140625,False,None
LINC00982,440556,25.030231,PRDM16 divergent transcript,PRDM16-DT,ENSG00000177133,440556,False,None
PRDM16,63976,17.633602,PR/SET domain 16,PRDM16,ENSG00000142611,63976,False,None
AL008733.1,None,None,None,None,None,None,True,None
AL590438.1,None,None,None,None,None,None,True,None
ARHGEF16,27237,17.64458,Rho guanine nucleotide exchange factor 16,ARHGEF16,ENSG00000130762,27237,False,None
AL512413.1,None,None,None,None,None,None,True,None
MEGF6,1953,17.766827,multiple EGF like domains 6,MEGF6,ENSG00000162591,1953,False,None
AL513320.1,None,None,None,None,None,None,True,None
TPRG1L,127262,17.656063,tumor protein p63 regulated 1 like,TPRG1L,ENSG00000158109,127262,False,None
WRAP73,49856,17.565674,"WD repeat containing, antisense to TP73",WRAP73,ENSG00000116213,49856,False,None
TP73,7161,17.590675,tumor protein p73,TP73,ENSG00000078900,7161,False,None
AL136528.1,None,None,None,None,None,None,True,None
AL136528.2,None,None,None,None,None,None,True,None
CCDC27,148870,18.450243,coiled-coil domain containing 27,CCDC27,ENSG00000162592,148870,False,None
SMIM1,388588,18.426487,small integral membrane protein 1 (Vel blood group),SMIM1,ENSG00000235169,388588,False,None
LRRC47,57470,17.611303,leucine rich repeat containing 47,LRRC47,ENSG00000130764,57470,False,None
AL365330.1,None,None,None,None,None,None,True,None
CEP104,9731,17.553997,centrosomal protein 104,CEP104,ENSG00000116198,9731,False,None
DFFB,1677,17.57691,DNA fragmentation factor subunit beta,DFFB,ENSG00000169598,1677,False,None
C1orf174,339448,22.34449,chromosome 1 open reading frame 174,C1orf174,ENSG00000198912,339448,False,None
LINC01134,100133612,27.06384,long intergenic non-protein coding RNA 1134,LINC01134,ENSG00000236423,100133612,False,None
LINC01346,ENSG00000233304,26.271759,long intergenic non-protein coding RNA 1346,LINC01346,ENSG00000233304,None,False,None
LINC01345,105376672,27.062708,long intergenic non-protein coding RNA 1345,LINC01345,ENSG00000226374,105376672,False,None
AL805961.1,None,None,None,None,None,None,True,None
AL805961.2,None,None,None,None,None,None,True,None
LINC01777,284661,27.063152,long intergenic non-protein coding RNA 1777,LINC01777,ENSG00000235054,284661,False,None
AL355602.1,None,None,None,None,None,None,True,None
Z98747.1,None,None,None,None,None,None,True,None
LINC01646,105376679,27.06384,long intergenic non-protein coding RNA 1646,LINC01646,ENSG00000232596,105376679,False,None
AJAP1,55966,17.664944,adherens junctions associated protein 1,AJAP1,ENSG00000196581,55966,False,None
BX005132.2,None,None,None,None,None,None,True,None
BX005132.1,None,None,None,None,None,None,True,None
AL691497.1,None,None,None,None,None,None,True,None
AL139823.1,None,None,None,None,None,None,True,None
Z98259.3,None,None,None,None,None,None,True,None
Z98259.2,None,None,None,None,None,None,True,None
Z98259.1,None,None,None,None,None,None,True,None
AL365255.1,None,None,None,None,None,None,True,None
NPHP4,261734,17.628069,nephrocystin 4,NPHP4,ENSG00000131697,261734,False,None
KCNAB2,8514,17.288069,potassium voltage-gated channel subfamily A regulatory beta subunit 2,KCNAB2,ENSG00000069424,8514,False,None
CHD5,8997,20.757175,kalirin RhoGEF kinase,KALRN,ENSG00000160145,8997,False,None
RPL22,6146,12.774642,ribosomal protein L22,RPL22,ENSG00000116251,6146,False,None
AL031847.1,None,None,None,None,None,None,True,None
RNF207,388591,18.227636,ring finger protein 207,RNF207,ENSG00000158286,388591,False,None
ICMT,23463,17.503399,isoprenylcysteine carboxyl methyltransferase,ICMT,ENSG00000116237,23463,False,None
LINC00337,148645,25.039667,ICMT divergent transcript,ICMT-DT,None,148645,False,None
HES3,390992,18.85321,hes family bHLH transcription factor 3,HES3,ENSG00000173673,390992,False,None
GPR153,387509,18.380404,G protein-coupled receptor 153,GPR153,ENSG00000158292,387509,False,None
ACOT7,11332,17.559834,acyl-CoA thioesterase 7,ACOT7,ENSG00000097021,11332,False,None
AL031848.2,None,None,None,None,None,None,True,None
HES2,54626,18.678757,hes family bHLH transcription factor 2,HES2,ENSG00000069812,54626,False,None
ESPN,83715,17.650217,espin,ESPN,ENSG00000187017,83715,False,None
AL031848.1,None,None,None,None,None,None,True,None
TNFRSF25,8718,18.380173,TNF receptor superfamily member 25,TNFRSF25,ENSG00000215788,8718,False,None
PLEKHG5,8718,18.989363,TNF receptor superfamily member 25,TNFRSF25,ENSG00000215788,8718,False,None
NOL9,79707,17.581535,nucleolar protein 9,NOL9,ENSG00000162408,79707,False,None
TAS1R1,80835,18.390816,taste 1 receptor member 1,TAS1R1,ENSG00000173662,80835,False,None
ZBTB48,3104,17.667015,zinc finger and BTB domain containing 48,ZBTB48,ENSG00000204859,3104,False,None
KLHL21,9903,17.62075,kelch like family member 21,KLHL21,ENSG00000162413,9903,False,None
PHF13,148479,17.602041,PHD finger protein 13,PHF13,ENSG00000116273,148479,False,None
THAP3,90326,18.64106,THAP domain containing 3,THAP3,ENSG00000041988,90326,False,None
DNAJC11,55735,18.15671,DnaJ heat shock protein family (Hsp40) member C11,DNAJC11,ENSG00000007923,55735,False,None
LINC01672,ENSG00000228750,26.27205,long intergenic non-protein coding RNA 1672,LINC01672,ENSG00000228750,None,False,None
AL591163.1,None,None,None,None,None,None,True,None
CAMTA1-DT,ENSG00000237436,26.27205,CAMTA1 divergent transcript,CAMTA1-DT,ENSG00000237436,None,False,None
CAMTA1,23261,18.192747,calmodulin binding transcription activator 1,CAMTA1,ENSG00000171735,23261,False,None
AL512330.1,None,None,None,None,None,None,True,None
Z97987.1,None,None,None,None,None,None,True,None
AL365194.1,None,None,None,None,None,None,True,None
AL359881.3,None,None,None,None,None,None,True,None
AL359881.2,None,None,None,None,None,None,True,None
AL359881.1,None,None,None,None,None,None,True,None
VAMP3,9341,17.636793,vesicle associated membrane protein 3,VAMP3,ENSG00000049245,9341,False,None
PER3,8863,17.814598,period circadian regulator 3,PER3,ENSG00000049246,8863,False,None
Z98884.1,None,None,None,None,None,None,True,None
UTS2,10911,18.42097,urotensin 2,UTS2,ENSG00000049247,10911,False,None
TNFRSF9,3604,18.319937,TNF receptor superfamily member 9,TNFRSF9,ENSG00000049249,3604,False,None
PARK7,11315,17.565275,Parkinsonism associated deglycase,PARK7,ENSG00000116288,11315,False,None
AL034417.4,None,None,None,None,None,None,True,None
AL034417.3,None,None,None,None,None,None,True,None
ERRFI1,54206,18.178967,ERBB receptor feedback inhibitor 1,ERRFI1,ENSG00000116285,54206,False,None
AL034417.2,None,None,None,None,None,None,True,None
LINC01714,102724539,27.063105,long intergenic non-protein coding RNA 1714,LINC01714,ENSG00000227634,102724539,False,None
AL358876.2,None,None,None,None,None,None,True,None
SLC45A1,50651,17.595263,solute carrier family 45 member 1,SLC45A1,ENSG00000162426,50651,False,None
RERE,473,18.210583,arginine-glutamic acid dipeptide repeats,RERE,ENSG00000142599,473,False,None
AL096855.1,None,None,None,None,None,None,True,None
AL357552.2,None,None,None,None,None,None,True,None
ENO1,2023,18.130207,enolase 1,ENO1,ENSG00000074800,2023,False,None
ENO1-AS1,100505975,27.06384,ENO1 antisense RNA 1,ENO1-AS1,ENSG00000230679,100505975,False,None
CA6,765,17.662937,carbonic anhydrase 6,CA6,ENSG00000131686,765,False,None
SLC2A7,155184,19.879513,solute carrier family 2 member 7,SLC2A7,ENSG00000197241,155184,False,None
SLC2A5,6518,19.093046,solute carrier family 2 member 5,SLC2A5,ENSG00000142583,6518,False,None
GPR157,80045,17.625723,G protein-coupled receptor 157,GPR157,ENSG00000180758,80045,False,None
MIR34AHG,106614088,27.062708,MIR34A host gene,MIR34AHG,ENSG00000228526,106614088,False,None
LINC01759,102724571,25.047367,long non coding transcriptional activator of miR34a,LNCTAM34A,ENSG00000234546,102724571,False,None
H6PD,9563,17.636793,hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,H6PD,ENSG00000049239,9563,False,None
SPSB1,80176,17.625278,splA/ryanodine receptor domain and SOCS box containing 1,SPSB1,ENSG00000171621,80176,False,None
BX323043.1,None,None,None,None,None,None,True,None
AL928921.2,None,None,None,None,None,None,True,None
AL928921.1,None,None,None,None,None,None,True,None
SLC25A33,84275,17.611038,solute carrier family 25 member 33,SLC25A33,ENSG00000171612,84275,False,None
TMEM201,199953,17.620607,transmembrane protein 201,TMEM201,ENSG00000188807,199953,False,None
PIK3CD,22883,22.07195,calsyntenin 1,CLSTN1,ENSG00000171603,22883,False,None
PIK3CD-AS1,644997,26.27205,PIK3CD antisense RNA 1,PIK3CD-AS1,ENSG00000179840,644997,False,None
PIK3CD-AS2,101929074,26.270922,PIK3CD antisense RNA 2,PIK3CD-AS2,ENSG00000231789,101929074,False,None
CLSTN1,22883,17.594423,calsyntenin 1,CLSTN1,ENSG00000171603,22883,False,None
CTNNBIP1,56998,17.634386,catenin beta interacting protein 1,CTNNBIP1,ENSG00000178585,56998,False,None
AL357140.1,None,None,None,None,None,None,True,None
LZIC,84328,17.530838,leucine zipper and CTNNBIP1 domain containing,LZIC,ENSG00000162441,84328,False,None
NMNAT1,64802,17.692022,nicotinamide nucleotide adenylyltransferase 1,NMNAT1,ENSG00000173614,64802,False,None
RBP7,116362,18.280495,retinol binding protein 7,RBP7,ENSG00000162444,116362,False,None
UBE4B,10277,17.493004,ubiquitination factor E4B,UBE4B,ENSG00000130939,10277,False,None
KIF1B,23095,17.493296,kinesin family member 1B,KIF1B,ENSG00000054523,23095,False,None
AL139424.3,None,None,None,None,None,None,True,None
AL139424.2,None,None,None,None,None,None,True,None
PGD,26227,19.85815,phosphoglycerate dehydrogenase,PHGDH,ENSG00000092621,26227,False,None
AL139424.1,None,None,None,None,None,None,True,None
CENPS-CORT,100526739,27.063105,CENPS-CORT readthrough,CENPS-CORT,ENSG00000251503,100526739,False,None
CENPS,100526739,21.505455,CENPS-CORT readthrough,CENPS-CORT,ENSG00000251503,100526739,False,None
CORT,1325,18.861029,cortistatin,CORT,ENSG00000241563,1325,False,None
DFFA,1676,17.606665,DNA fragmentation factor subunit alpha,DFFA,ENSG00000160049,1676,False,None
AL354956.1,None,None,None,None,None,None,True,None
PEX14,5195,17.409254,peroxisomal biogenesis factor 14,PEX14,ENSG00000142655,5195,False,None
CASZ1,54897,17.552204,castor zinc finger 1,CASZ1,ENSG00000130940,54897,False,None
AL139423.1,None,None,None,None,None,None,True,None
C1orf127,148345,24.202356,chromosome 1 open reading frame 127,C1orf127,ENSG00000175262,148345,False,None
TARDBP,23435,18.024328,TAR DNA binding protein,TARDBP,ENSG00000120948,23435,False,None
AL109811.4,None,None,None,None,None,None,True,None
MASP2,10747,17.683004,MBL associated serine protease 2,MASP2,ENSG00000009724,10747,False,None
AL109811.3,None,None,None,None,None,None,True,None
SRM,6725,21.506256,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites,SRMS,ENSG00000125508,6725,False,None
EXOSC10,5394,16.607317,exosome component 10,EXOSC10,ENSG00000171824,5394,False,None
AL109811.1,None,None,None,None,None,None,True,None
AL109811.2,None,None,None,None,None,None,True,None
MTOR,2475,17.526974,mechanistic target of rapamycin kinase,MTOR,ENSG00000198793,2475,False,None
MTOR-AS1,100873935,27.063152,MTOR antisense RNA 1,MTOR-AS1,ENSG00000225602,100873935,False,None
ANGPTL7,10218,17.675303,angiopoietin like 7,ANGPTL7,ENSG00000171819,10218,False,None
UBIAD1,29914,17.57691,UbiA prenyltransferase domain containing 1,UBIAD1,ENSG00000120942,29914,False,None
AL031291.1,None,None,None,None,None,None,True,None
DISP3,57540,17.631636,dispatched RND transporter family member 3,DISP3,ENSG00000204624,57540,False,None
LINC01647,101929181,27.059961,long intergenic non-protein coding RNA 1647,LINC01647,ENSG00000235643,101929181,False,None
AL031731.1,None,None,None,None,None,None,True,None
FBXO2,26232,17.827415,F-box protein 2,FBXO2,ENSG00000116661,26232,False,None
FBXO44,93611,19.629864,F-box protein 44,FBXO44,ENSG00000132879,93611,False,None
FBXO6,26270,19.439688,F-box protein 6,FBXO6,ENSG00000116663,26270,False,None
MAD2L2,10459,17.57161,mitotic arrest deficient 2 like 2,MAD2L2,ENSG00000116670,10459,False,None
DRAXIN,374946,18.107962,dorsal inhibitory axon guidance protein,DRAXIN,ENSG00000162490,374946,False,None
AGTRAP,57085,17.689892,angiotensin II receptor associated protein,AGTRAP,ENSG00000177674,57085,False,None
C1orf167,284498,25.049637,chromosome 1 open reading frame 167,C1orf167,ENSG00000215910,284498,False,None
AL953897.1,None,None,None,None,None,None,True,None
MTHFR,4524,17.617577,methylenetetrahydrofolate reductase,MTHFR,ENSG00000177000,4524,False,None
CLCN6,1185,17.614828,chloride voltage-gated channel 6,CLCN6,ENSG00000011021,1185,False,None
NPPA-AS1,100379251,27.063152,NPPA antisense RNA 1,NPPA-AS1,None,100379251,False,None
NPPA,4878,18.110899,natriuretic peptide A,NPPA,ENSG00000175206,4878,False,None
NPPB,4879,18.298033,natriuretic peptide B,NPPB,ENSG00000120937,4879,False,None
KIAA2013,90231,17.666077,KIAA2013,KIAA2013,ENSG00000116685,90231,False,None
PLOD1,5351,18.21699,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,ENSG00000083444,5351,False,None
MFN2,9927,17.594866,mitofusin 2,MFN2,ENSG00000116688,9927,False,None
MIIP,60672,17.78056,migration and invasion inhibitory protein,MIIP,ENSG00000116691,60672,False,None
TNFRSF8,943,18.41878,TNF receptor superfamily member 8,TNFRSF8,ENSG00000120949,943,False,None
TNFRSF1B,7133,17.851593,TNF receptor superfamily member 1B,TNFRSF1B,ENSG00000028137,7133,False,None
VPS13D,55187,17.581406,vacuolar protein sorting 13 homolog D,VPS13D,ENSG00000048707,55187,False,None
AC243836.1,None,None,None,None,None,None,True,None
DHRS3,9249,18.09495,dehydrogenase/reductase 3,DHRS3,ENSG00000162496,9249,False,None
AC254633.1,None,None,None,None,None,None,True,None
AADACL4,343066,18.757477,arylacetamide deacetylase like 4,AADACL4,ENSG00000204518,343066,False,None
AADACL3,126767,19.638557,arylacetamide deacetylase like 3,AADACL3,ENSG00000188984,126767,False,None
C1orf158,93190,22.682999,cilia and flagella associated protein 107,CFAP107,ENSG00000157330,93190,False,None
PRAMEF12,390999,22.614588,PRAME family member 12,PRAMEF12,ENSG00000116726,390999,False,None
PRAMEF1,65121,25.049507,PRAME family member 1,PRAMEF1,ENSG00000116721,65121,False,None
LINC01784,105376745,26.271315,long intergenic non-protein coding RNA 1784,LINC01784,ENSG00000228338,105376745,False,None
PRAMEF11,440560,27.06384,PRAME family member 11,PRAMEF11,ENSG00000281934,440560,False,"[{'gene': 'ENSG00000281934'}, {'gene': 'ENSG00000239810'}]"
HNRNPCL1,343069,23.088127,heterogeneous nuclear ribonucleoprotein C like 1,HNRNPCL1,ENSG00000282175,343069,False,"[{'gene': 'ENSG00000282175'}, {'gene': 'ENSG00000179172'}]"
PRAMEF2,65122,27.065735,PRAME family member 2,PRAMEF2,ENSG00000282817,65122,False,"[{'gene': 'ENSG00000282817'}, {'gene': 'ENSG00000120952'}]"
PRAMEF4,400735,27.065735,PRAME family member 4,PRAMEF4,ENSG00000282584,400735,False,"[{'gene': 'ENSG00000282584'}, {'gene': 'ENSG00000243073'}]"
PRAMEF10,343071,24.790571,PRAME family member 10,PRAMEF10,ENSG00000187545,343071,False,"[{'gene': 'ENSG00000187545'}, {'gene': 'ENSG00000282663'}]"
PRAMEF7,441871,25.749384,PRAME family member 7,PRAMEF7,ENSG00000204510,441871,False,"[{'gene': 'ENSG00000204510'}, {'gene': 'ENSG00000279195'}]"
PRAMEF6,440561,26.271364,PRAME family member 6,PRAMEF6,ENSG00000232423,440561,False,"[{'gene': 'ENSG00000232423'}, {'gene': 'ENSG00000282119'}]"
PRAMEF27,101929983,25.752413,PRAME family member 27,PRAMEF27,ENSG00000274764,101929983,False,"[{'gene': 'ENSG00000274764'}, {'gene': 'ENSG00000283425'}, {'gene': 'ENSG00000282437'}]"
HNRNPCL3,649330,27.063105,heterogeneous nuclear ribonucleoprotein C like 3,HNRNPCL3,ENSG00000282095,649330,False,"[{'gene': 'ENSG00000282559'}, {'gene': 'ENSG00000277058'}, {'gene': 'ENSG00000283292'}]"
PRAMEF25,441873,25.750093,PRAME family member 25,PRAMEF25,ENSG00000283216,441873,False,"[{'gene': 'ENSG00000283348'}, {'gene': 'ENSG00000276299'}, {'gene': 'ENSG00000282566'}, {'gene': 'ENSG00000229571'}]"
HNRNPCL2,440563,27.063417,heterogeneous nuclear ribonucleoprotein C like 2,HNRNPCL2,ENSG00000282559,440563,False,"[{'gene': 'ENSG00000274109'}, {'gene': 'ENSG00000282530'}, {'gene': 'ENSG00000283370'}, {'gene': 'ENSG00000275774'}]"
AC245056.1,None,None,None,None,None,None,True,None
PRAMEF26,645359,27.063152,PRAME family member 26,PRAMEF26,ENSG00000283216,645359,False,"[{'gene': 'ENSG00000283216'}, {'gene': 'ENSG00000280267'}, {'gene': 'ENSG00000281987'}]"
HNRNPCL4,101060301,27.063547,heterogeneous nuclear ribonucleoprotein C like 4,HNRNPCL4,ENSG00000282559,101060301,False,"[{'gene': 'ENSG00000282095'}, {'gene': 'ENSG00000179412'}, {'gene': 'ENSG00000273865'}, {'gene': 'ENSG00000283231'}]"
PRAMEF9,343070,26.271759,PRAME family member 9,PRAMEF9,ENSG00000281573,343070,False,"[{'gene': 'ENSG00000281573'}, {'gene': 'ENSG00000283139'}, {'gene': 'ENSG00000282298'}, {'gene': 'ENSG00000204505'}]"
PRAMEF13,400736,27.063105,PRAME family member 13,PRAMEF13,ENSG00000279169,400736,False,"[{'gene': 'ENSG00000279169'}, {'gene': 'ENSG00000282741'}]"
